user_primary_key,point_2015
-195275964444925940,35873
-2604412306251811369,46800
-2946787095355905345,23164
-3015307357241182865,27346
-358649781069692195,30639
-4098235760540857836,31898
-4626766167770413775,51050
-5445683867286567042,40809
-6178404001286304439,72118
-8182199406294026295,49225
-87179814058902389,20164
-9162685177370241124,43003
-993931052248897488,5360
1639873255310928224,41903
2857027811299296649,14992
3065883942592180737,7607
3068080463934036697,5439
3415790866112713911,6154
3531707246234146407,20769
3551718400234988353,9686
4785925660162163330,1467
5163104442062225935,31875
6524478213377848272,68915
6690731355136669886,104870
6829036424800323512,45658
6917009879354377076,37825
7347792764684442404,6182
8168338424257521643,3793
827271758945615788,178445
8286609193715017858,4485
-2024866587788512788,6825
-2051484923244563413,3075
-2053858446697666309,27220
-3972017249623138130,21960
-4036773717751942179,118808
-4044133866942114553,86309
-4102201423248141615,556
-4272171956648773140,43160
-478902719237079895,18685
-4846118833303392630,42020
-5195500626020542999,11161
-5342260428571412223,6272
-57749353229210864,17028
-6684397754766658043,49112
-7267997995595211664,26925
-7795036451084397751,24597
-8140665591844482740,32260
2241605168802591853,72225
2707077132688558594,2777
3114020321541201271,1170
3414777297537530070,33847
5525091631256161208,37907
5615601270861165416,675
583290952740565449,4650
6570932783536514092,18519
7083983224595962596,14600
-1255074087543954619,21121
-1422695714055777885,6110
-1481402967962654585,7600
-3141674227154888419,489
-3402832180065722308,3397
-3542232160230784376,28194
-4926257209224342815,7312
-5030372867052551275,27853
-6366157815123915882,2284
-6570715992383121731,15288
-6644875705228452614,5943
-7670402898218481545,8067
-7671016677824292284,18921
-8185610240078375507,1725
-8373930017158108963,9671
-9115690976118046674,17025
-971286042821663824,100956
1120438249267140997,18580
2297532617006069403,23138
2416292229826333916,7691
2876648618089122926,2400
2901866328778177557,43626
2949332015326146663,2260
3028763866513787959,5076
3043859990280694141,10976
3346396861799425208,4874
3888789658373443521,4974
5176861782397453618,5888
538726024259699085,627
5980046988850829441,24463
615266667459173271,810
6723327091468256899,300
775318113718903562,36561
8675768674439472281,81535
-1714635189577254200,5622
-8454392588338417734,12138
-930376743234958911,750
1251850999370516787,140
8071590123458473238,27000
-1602634728417372594,
-2618901875890550330,1995
-305870819655028328,
-4625668386918744679,372
-4638585461207610255,
-4895074581659606648,
-5097550048406815121,
-5288700421257099345,
-5303269458117714969,
-7283021128906401933,
-7562179762507924096,
-8146211686975078564,
136829740694202163,0
1568008912176038585,
1761838500557692510,
3512936031164476964,
5897566913465109297,
590037293814583377,
5957764801807551934,9300
6988223553668455460,
8128938074891686350,5869
8605945192871514800,
896355756210164916,
9083177133607215936,
968327781001558375,
-1682051475938360205,20701
-3010502499641723692,6653
-3394887320421809187,16958
-4116113260928755703,1745
-5438337555184331002,158375
-5490265021861304449,10095
-6206808102509112914,17900
-6527686425685891030,4946
-7156018489762635098,23702
-7206881637406017016,9204
-7622492096462508937,21334
-7970584770871665020,137823
-8391444049258128786,15679
-8740421444855617528,28971
1022460643636580569,15664
2830426915028888347,22380
3154079183140681174,307265
3189608717589757481,414
4033233192491598278,5529
411240991805274799,39510
5401123148485904975,13979
5673651432158997922,82593
5945703086268489161,34609
7523362043562700808,21110
7590645716018830628,49955
7630244900605510546,22057
7972511589917690755,26371
-1086091050522195194,27525
-1979092438050027110,20210
-2635066797601406111,16135
-2985970615230310779,35370
-3267311911867251447,10507
-3356481701288283963,28988
-4107798231670611673,21433
-4490935915556948066,366
-4592155900946639029,37728
-4787179044179631811,30503
-6848163638069307227,16373
-7848038409508128427,19226
-8260194811969004259,18795
-9026925453211512374,14684
1303780017774987921,18075
1654530074446465949,100801
1804336927765374114,3420
2748963790731301448,620
4053704902766799991,13575
4678107297297718858,36477
4830630062444002940,8063
7164570314683459280,10288
7873357614783284568,7670
8383344382628837634,39680
8638669374305028619,13921
8815994080182622917,60658
-1027424536916900336,2025
-1234877972843511941,10200
-1539013342353900130,3478
-1545143351133340864,14825
-1882600672511930934,7311
-2268585849951730725,16001
-345181293021058058,8608
-4228861989989052734,2700
-4427302907905295594,2274
-5768845157482362627,545
-5967736239198073372,1125
-6079238140408860732,2819
-6098482164637251413,3864
-6422908207366829322,893
-6547657582110629063,4050
-6547962138525870342,9010
-7285112861147783779,27517
-7634779068723024347,1575
-804951497834258043,16515
1838324296145947747,414
228913637541629620,2505
3112635469759646001,9633
3294248251168715614,75
3795414726286061922,2427
4225998637075784602,8229
4399351026790849131,1350
