"user_primary_key","video_min_date","video_max_date","video_days","video_use_time","video_n_life","video_kind_life","vido_n_finish","video_n_school","video_repeat_rate","video_finish_rate","video_school_rate","video_finish_time","video_kind_finish","video_finish_school","video_f_time_mean","video_f_repeat_rate","video_f_school_rate","video_use_time_s1","video_n_s1","video_kind_s1","video_finish_time_s1","video_finish_s1","video_kind_finish_s1","video_f_time_mean_s1","video_use_time_s2","video_n_s2","video_kind_s2","video_finish_time_s2","video_finish_s2","video_kind_finish_s2","video_finish_time_mean_s2","video_use_time_s11","video_n_s11","video_kind_s11","video_finish_time_s11","video_finish_s11","video_kind_finish_s11","video_finish_time_mean_s11","video_use_time_s21","video_n_s21","video_kind_s21","video_finish_time_s21","video_finish_s21","video_kind_finish_s21","video_finish_time_mean_s21","video_day_med","video_day_var","video_Dtime_med","video_Dtime_var"
"-1020355799362345007",2015-04-23,2015-04-23,0,4,1,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,0
"-1024894847361488749",2014-12-03,2014-12-03,0,5,1,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,5,0
"-1026423240087465615",2014-04-28,2014-06-03,36,2819,11,11,6,0,1,0.545,0,2047,6,0,341.167,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,32,301,113007.238095238
"-103808604600726914",2015-06-26,2015-10-29,125,773,4,4,2,4,1,0.5,1,612,2,2,306,1,1,NA,NA,NA,NA,NA,NA,NA,612,2,2,612,2,2,306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.5,7080.5,89,94236.3333333333
"-1039698400584513425",2014-11-04,2015-10-05,335,291,3,3,1,2,1,0.333,0.667,182,1,0,182,1,0,NA,NA,NA,NA,NA,NA,NA,40,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167.5,6384.5,69,5629
"-1066057221485628660",2015-03-02,2015-04-30,59,329,3,3,1,0,1,0.333,0,266,1,0,266,1,0,36,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,0,164.5,33024.5
"-108414110392908818",2014-12-10,2014-12-10,0,72,1,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,72,0
"-1088053595257973971",2015-09-09,2015-09-09,0,57,2,2,0,2,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,2,2,NA,NA,NA,NA,0,0,57,0
"-1089597889821901259",2015-10-14,2015-10-14,0,435,6,6,1,6,1,0.167,1,54,1,1,54,1,1,NA,NA,NA,NA,NA,NA,NA,435,6,6,54,1,1,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,435,0
"-11009409510197952",2015-04-23,2015-06-11,49,188,2,2,0,1,1,0,0.5,NA,NA,NA,NA,NA,NA,34,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,0,94,7200
"-1102517609168241238",2014-03-18,2014-03-18,0,5,1,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,5,0
"-1104604974092029600",2015-10-26,2015-10-28,2,231,4,4,0,2,1,0,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,115.5,8844.5
"-1111959984454655666",2015-05-14,2015-06-11,28,372,2,2,1,1,1,0.5,0.5,372,1,0,372,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,0,186,69192
"-1112260135898282541",2015-10-23,2015-10-23,0,4,1,1,0,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,0
"-1134701656286377683",2015-07-07,2015-07-07,0,137,1,1,0,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,137,0
"-1146437913036306944",2014-05-15,2014-05-15,0,754,3,3,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,754,0
"-114864253022705159",2014-06-17,2014-06-17,0,299,2,2,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,299,0
"-1152122015375285883",2015-04-24,2015-05-22,28,332,2,2,1,1,1,0.5,0.5,304,1,0,304,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,0,166,38088
"-1160268702629288931",2015-01-11,2015-01-11,0,305,2,2,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,305,0
"-1164142749737652233",2015-05-07,2015-05-07,0,22,1,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,22,0
"-1196549982680476635",2014-10-23,2015-06-01,221,719,4,3,0,1,0.75,0,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,14776.3333333333,174.5,27500.9166666667
"-120704243485479647",2015-10-14,2015-10-28,14,1700,7,6,7,2,0.857,1,0.286,1700,6,2,242.857,0.857,0.286,NA,NA,NA,NA,NA,NA,NA,1700,7,6,1700,7,6,242.857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,72,583,290182.333333333
"-1210326466348907331",2015-04-24,2015-04-24,0,2,1,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0
"-1211899791464410880",2014-11-18,2014-11-18,0,313,1,1,1,0,1,1,0,313,1,0,313,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,313,0
